,CFC-12,Halon-1211,HCFC-22,HCFC-141b,Methylchloroform,HFC-23,HFC-125,HFC-134a,HFC-152a,Nitrogentrifluoride,PFC-14,PFC-116,Sulfurhexafluoride
2004.375,543.814,,162.491,17.448,22.358,18.22,3.06,29.455,3.1489999999999996,,74.256,3.553,5.369
2004.4579999999999,543.6,,163.129,17.469,21.988000000000003,17.91,3.089,29.909000000000002,3.083,,74.257,3.5589999999999997,5.388999999999999
2004.5420000000001,543.352,,163.60399999999998,17.49,21.668000000000003,18.335,3.136,30.209,3.051,,74.367,3.573,5.41
2004.625,543.63,,164.476,17.551,21.151999999999997,18.69,3.2230000000000003,30.825,3.082,,74.414,3.5839999999999996,5.433
2004.7079999999999,543.418,,164.771,17.532,20.844,18.17,3.2680000000000002,31.278000000000002,3.069,,74.40100000000001,3.588,5.435
2004.7920000000001,543.525,,165.735,17.642,20.551,,3.342,31.815,3.1919999999999997,,74.475,3.608,5.442
2004.875,543.691,,165.862,17.573,20.239,,3.375,32.114000000000004,3.2489999999999997,,74.51,3.609,5.4639999999999995
2004.9579999999999,543.682,,166.088,17.567999999999998,20.019000000000002,,3.412,32.422,3.306,,74.555,3.6210000000000004,5.489
2005.0420000000001,543.702,,165.765,17.499000000000002,19.768,,3.4410000000000003,32.494,3.2960000000000003,,74.657,3.6180000000000003,5.4910000000000005
2005.125,543.388,,165.84900000000002,17.508,19.514,,3.492,32.623000000000005,3.3080000000000003,,74.714,3.633,5.507000000000001
2005.2079999999999,543.434,,166.28799999999998,17.52,19.212,,3.557,32.97,3.4330000000000003,,74.76,3.642,5.524
2005.2920000000001,543.148,,167.014,17.623,18.937,,3.623,33.479,3.5269999999999997,,74.852,3.657,5.542999999999999
2005.375,542.91,,167.896,17.675,18.73,,3.758,33.825,3.585,,74.961,3.67,5.584
2005.4579999999999,542.867,,168.50900000000001,17.674,18.364,,3.759,34.271,3.614,,75.00399999999999,3.665,5.608
2005.5420000000001,542.746,,169.31799999999998,17.695,18.099,,3.767,34.787,3.633,,74.998,3.668,5.63
2005.625,542.684,,169.87599999999998,17.729,17.785999999999998,,3.807,35.217,3.61,,75.059,3.674,5.642
2005.7079999999999,542.737,,170.646,17.788,17.5,,3.8480000000000003,35.66,3.6660000000000004,,75.107,3.68,5.662999999999999
2005.7920000000001,542.761,,170.822,17.79,17.214000000000002,,3.904,35.944,3.6889999999999996,,75.139,3.676,5.682
2005.875,542.868,,171.685,17.887999999999998,16.91,,4.007,36.455,3.886,,75.256,3.69,5.707999999999999
2005.9579999999999,542.874,,172.576,17.971,16.687,,4.067,37.004,4.118,,75.314,3.696,5.744
2006.0420000000001,542.76,,172.43,17.914,16.461,,4.083,36.97,4.15,,75.377,3.7030000000000003,5.768
2006.125,542.6759999999999,,172.68900000000002,17.871,16.215,,4.13,37.176,4.166,,75.429,3.7089999999999996,5.774
2006.2079999999999,542.2669999999999,,172.69099999999997,17.802,15.965,,4.145,37.227,4.147,,75.46600000000001,3.714,5.772
2006.2920000000001,541.944,,173.63400000000001,17.907,15.808,,4.22,37.711,4.302,,75.56,3.7319999999999998,5.807
2006.375,541.795,,174.132,17.942,15.589,,4.293,38.016,4.306,,75.579,3.738,5.818
2006.4579999999999,541.465,,175.294,18.022000000000002,15.356,,4.382,38.643,4.391,,75.626,3.736,5.848
2006.5420000000001,541.181,,176.52599999999998,18.131,15.084000000000001,,4.467,39.385,4.474,,75.67,3.745,5.869
2006.625,540.818,,176.38099999999997,18.084,14.852,,4.471,39.635,4.387,,75.669,3.7489999999999997,5.867000000000001
